source_rel_path,audio_16k_rel_path,spectrogram_rel_path,embedding_rel_path,duration_sec,sr,spectrogram_shape,embedding_shape,model,input_length_sec,embedding_key
10006564.ogg,audio_16k/10006564.wav,spectrograms/10006564.ogg.npz,embeddings/10006564.ogg.npz,203.911875,16000,12745x96,68x500,MSD_musicnn_big,3.0,penultimate
10007188.ogg,audio_16k/10007188.wav,spectrograms/10007188.ogg.npz,embeddings/10007188.ogg.npz,212.96,16000,13311x96,71x500,MSD_musicnn_big,3.0,penultimate
10007189.ogg,audio_16k/10007189.wav,spectrograms/10007189.ogg.npz,embeddings/10007189.ogg.npz,262.0336875,16000,16378x96,87x500,MSD_musicnn_big,3.0,penultimate
10007220.ogg,audio_16k/10007220.wav,spectrograms/10007220.ogg.npz,embeddings/10007220.ogg.npz,190.8984375,16000,11932x96,63x500,MSD_musicnn_big,3.0,penultimate
10007333.ogg,audio_16k/10007333.wav,spectrograms/10007333.ogg.npz,embeddings/10007333.ogg.npz,261.75,16000,16360x96,87x500,MSD_musicnn_big,3.0,penultimate
10009565.ogg,audio_16k/10009565.wav,spectrograms/10009565.ogg.npz,embeddings/10009565.ogg.npz,444.1379375,16000,27759x96,148x500,MSD_musicnn_big,3.0,penultimate
10009585.ogg,audio_16k/10009585.wav,spectrograms/10009585.ogg.npz,embeddings/10009585.ogg.npz,158.5938125,16000,9913x96,53x500,MSD_musicnn_big,3.0,penultimate
10010489.ogg,audio_16k/10010489.wav,spectrograms/10010489.ogg.npz,embeddings/10010489.ogg.npz,190.5,16000,11907x96,63x500,MSD_musicnn_big,3.0,penultimate
1010149.mp3,audio_16k/1010149.wav,spectrograms/1010149.mp3.npz,embeddings/1010149.mp3.npz,156.656375,16000,9792x96,52x500,MSD_musicnn_big,3.0,penultimate
1029815.mp3,audio_16k/1029815.wav,spectrograms/1029815.mp3.npz,embeddings/1029815.mp3.npz,129.28,16000,8081x96,43x500,MSD_musicnn_big,3.0,penultimate
1034264.mp3,audio_16k/1034264.wav,spectrograms/1034264.mp3.npz,embeddings/1034264.mp3.npz,266.784,16000,16675x96,89x500,MSD_musicnn_big,3.0,penultimate
1069091.mp3,audio_16k/1069091.wav,spectrograms/1069091.mp3.npz,embeddings/1069091.mp3.npz,226.586125,16000,14162x96,75x500,MSD_musicnn_big,3.0,penultimate
1072970.mp3,audio_16k/1072970.wav,spectrograms/1072970.mp3.npz,embeddings/1072970.mp3.npz,138.48,16000,8656x96,46x500,MSD_musicnn_big,3.0,penultimate
1080106_Teminite---Raise-The-Black.mp3,audio_16k/1080106_Teminite---Raise-The-Black.wav,spectrograms/1080106_Teminite---Raise-The-Black.mp3.npz,embeddings/1080106_Teminite---Raise-The-Black.mp3.npz,280.1894375,16000,17512x96,93x500,MSD_musicnn_big,3.0,penultimate
1093205.mp3,audio_16k/1093205.wav,spectrograms/1093205.mp3.npz,embeddings/1093205.mp3.npz,295.2359375,16000,18453x96,98x500,MSD_musicnn_big,3.0,penultimate
1110076.mp3,audio_16k/1110076.wav,spectrograms/1110076.mp3.npz,embeddings/1110076.mp3.npz,336.936,16000,21059x96,112x500,MSD_musicnn_big,3.0,penultimate
1126401.mp3,audio_16k/1126401.wav,spectrograms/1126401.mp3.npz,embeddings/1126401.mp3.npz,265.560875,16000,16598x96,88x500,MSD_musicnn_big,3.0,penultimate
1127620.mp3,audio_16k/1127620.wav,spectrograms/1127620.mp3.npz,embeddings/1127620.mp3.npz,180.096,16000,11257x96,60x500,MSD_musicnn_big,3.0,penultimate
